id,word2vec
1,"[0.017285444773733616,0.3316631931811571,0.1521612610667944,0.024592748028226197,-0.04254311043769121]"
2,"[0.09009279124438763,0.45467058196663857,0.1219209935516119,0.02912515541538596,-0.11174582317471504]"
3,"[0.017285444773733616,0.3316631931811571,0.1521612610667944,0.024592748028226197,-0.04254311043769121]"
4,"[0.009597277268767357,0.33723999187350273,0.1550972294062376,0.03612341184634715,-0.06260154210031033]"
5,"[0.19982237443327905,0.37443992756307126,0.16436224915087225,0.02114103147760034,0.008088049292564393]"
6,"[0.10623838437291293,0.24767499524526873,0.10754803218878806,-0.07526262111675282,0.08706787088885903]"
9,"[0.030808612375574952,0.11445021745748818,0.23778496671687155,-0.13691878450267456,0.03408237820600762]"
7,"[0.02078128606081009,0.3843188158103398,0.14853438468916075,-0.07178425456264188,-0.06063152523711324]"
8,"[0.019066342670056555,0.312920960287253,0.11675412373410331,-0.06470642683820592,-0.01508759127722846]"
10,"[0.09560601253594671,0.425161420234612,0.17960269855601446,0.004497933999768325,-0.10914786479302814]"
11,"[0.00638844408094883,0.34368880018591885,0.16693454924970866,-0.23181550689041616,0.12208756133913995]"
12,"[-0.013690134933726355,0.2553633759644899,0.16340486430139706,-0.03863092562691732,-0.04206415045667779]"
13,"[0.08957712966102091,0.21495841037143362,0.16314048853448845,-0.1970852813260122,-0.050688851540061565]"
14,"[-0.002365620527416468,0.18030756916850807,0.12671471163630485,-0.026418212382122875,-0.008385217329487205]"
15,"[0.13955220580101013,0.3314916701056063,0.08831358809644976,-0.09193648436727622,-0.06890039080947948]"
16,"[0.10666622847995975,0.32812175078486855,0.16440047289837492,-0.18352558997205712,0.1143325919454748]"
17,"[0.10315676020192248,0.19000525034165808,0.10170893477542059,-0.006088114609675748,-0.045059149951807084]"
18,"[0.1534121131990105,0.3293044175952673,0.07905200379900634,-0.09090969222597778,-0.012840537587180734]"
19,"[-0.004806802341980593,0.17376261151262692,0.13085411402529903,-0.0824541879285659,0.08810645501528468]"
20,"[0.1190248653292656,0.4634546704058136,0.13306806768689836,-0.11480581727144973,-0.00048481087599481853]"
21,"[0.20211763046681883,0.4724639713764191,0.12022010050714016,-0.1712179183959961,0.020392416045069695]"
22,"[-0.034187610394188335,0.3160893637686968,0.1707655791459339,-0.18575803762567894,0.09790961178285734]"
23,"[-0.03819889548633779,0.32406586195741377,0.20407269881772142,-0.20457766085330928,0.08532741665840149]"
25,"[0.019835367798805237,0.2913449913263321,0.13909117989242079,-0.014593072142452002,0.05515219680964947]"
24,"[0.017357232693869334,0.14808611457164472,0.11525462768398799,-0.013539603678509593,-0.06992623066672912]"
26,"[0.15302231951671488,0.30058794260463295,0.10229881603599471,-0.06399598372552324,0.017144253587021548]"
27,"[0.1407819486090115,0.37110040336847305,0.10296894989109465,-0.02924201843727912,-0.03859182633459568]"
28,"[0.024900470355836053,0.2856342343535895,0.16315904833997288,-0.1787406571675092,0.07345273749281962]"
29,"[0.03856843409852849,0.29344579329093295,0.14557975023570988,0.10563972799314392,-0.09642530967377953]"
30,"[0.009436225104663106,0.08123857941892411,0.1808941112831235,-0.04329845329953564,-0.03464504910839929]"
31,"[0.2233612707350403,0.4362025950103998,0.12888193130493164,-0.04232293670065701,-0.06017568614333868]"
32,"[0.13815701835685307,0.3521158376501666,0.13225927338418034,-0.04035011554757754,-0.01580696863432725]"
33,"[0.09929791891149112,0.3195978972528662,0.10437971726059914,-0.055922056681343486,-0.09540630131959915]"
34,"[0.05055742933311396,0.223950971952743,0.09607733310096793,0.10830486436477965,-0.048951908118195]"
35,"[0.13753290055319667,0.33843223890289664,0.07382020121440291,-0.0653050602413714,-0.02321925642900169]"
36,"[0.1608605838070313,0.21625817908595005,0.16828417715926963,-0.0033519051503390074,0.06716149362425008]"
37,"[0.21591002432008582,0.2322381306439638,0.20751698159923154,0.0061504223849624395,0.12581254914402962]"
38,"[0.09404522497206927,0.27182095497846603,0.1852256073616445,0.09556814972311259,-0.03351341858506203]"
39,"[0.016248050272803415,0.18517716990953142,0.1464757497676394,-0.0005190649112178521,-0.09762041440064258]"
40,"[0.038253433350473647,0.30182220275746663,0.12260704585351051,0.0491530244704336,-0.03233118802309037]"
41,"[0.048241267150098625,0.25068542515774345,0.06636723368005319,0.10293014254420996,-0.04488795661282811]"
42,"[0.04603332909755409,0.27810198487713933,0.15759007434826344,-0.08408543560653925,-0.015908810775727034]"
43,"[0.07107857445424254,0.2273983494801955,0.17573372850363905,-0.23105998447334225,0.01912016768685796]"
44,"[-0.044696263095829636,0.31806340580806136,0.19868936901912093,-0.26164261216763407,0.050979060542886145]"
45,"[-0.04974943461517493,-0.08766316249966621,0.09718956643094619,-0.10736061337714393,-0.10392233946671088]"
46,"[0.02486404901566474,0.24387000412925292,0.15014999438273277,-0.13169249448631154,0.030449532756679935]"
47,"[0.20039441203698516,0.3185539045371115,0.2658825474791229,-0.15598260308615863,0.200215203454718]"
48,"[0.22004458121955395,0.318989685703335,0.013010122480669191,-0.17356440504746776,0.12211907601782253]"
49,"[0.083223858072112,0.2814126908003042,0.15165103149289885,-0.17972551402635872,0.07868765213061124]"
50,"[0.26966004412282596,0.3366794125600295,0.11329537663947452,-0.292179371568967,0.12080757400359621]"
51,"[-0.02673179573482937,0.17695532594290045,0.18463515324725044,-0.02030289038601849,0.137505109111468]"
52,"[-0.10304210567846894,0.13606870407238603,0.2549165428063134,-0.12415945052634925,0.06933568511158228]"
53,"[-0.01625655684620142,0.09072423540055752,0.3121629636734724,-0.08845971757546067,0.1199634401127696]"
54,"[-0.03986798280051776,0.18048126649643692,0.0922089751277651,-0.1521556382732732,0.09496083137180124]"
55,"[0.20793288591085002,0.3331362814642489,0.1620825445279479,-0.2343866197625175,0.08149675495224074]"
56,"[0.044352500034230094,0.3559865582252054,0.1744611488123025,-0.3170058252289891,0.14615269803575107]"
57,"[0.19046792876906693,0.279391854070127,0.14093492785468698,-0.19120085053145885,0.1572888187947683]"
58,"[0.06545748478836483,0.3113560709688398,0.10609216905302471,-0.14571364875882864,0.05810445133182737]"
59,"[0.08240322819487615,0.17766880354082043,0.18825028531930663,-0.1960172135890885,0.038069850468838755]"
60,"[0.04660727456212044,0.11429093219339848,0.15344168095006827,-0.023049314240259782,0.08650281655025624]"
61,"[0.13309696402687293,0.2387745686305257,0.04426332649130088,-0.03557440000944413,0.2322052469333777]"
62,"[0.1155986197824989,0.13435004465281963,0.06970048403101307,0.006036413434360708,0.15067351742514543]"
63,"[0.2262543166199556,0.2412548907674276,0.08279518145494737,-0.06042267231700513,0.10582968850548452]"
