1,JavaScript: Check whether an input is a date object or not,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Checking a date object</title>
</head>
<body>
</body>
</html>
","var is_date = function(input) {
  if ( Object.prototype.toString.call(input) === ""[object Date]"" ) 
    return true;
  return false;   
    };

console.log(is_date(""October 13, 2014 11:13:00""));
console.log(is_date(new Date(86400000)));
console.log(is_date(new Date(99,5,24,11,33,30,0)));
console.log(is_date([1, 2, 4, 0]));
","Medium
"
2,JavaScript: Get the current date,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Get the current date</title>
</head>
<body>
</body>
</html>
","var curday = function(sp){
today = new Date();
var dd = today.getDate();
var mm = today.getMonth()+1; //As January is 0.
var yyyy = today.getFullYear();

if(dd<10) dd='0'+dd;
if(mm<10) mm='0'+mm;
return (mm+sp+dd+sp+yyyy);
};
console.log(curday('/'));
console.log(curday('-'));
","Easy
"
3,JavaScript: Get the number of days in a month,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Get days in Month</title>
</head>
<body>
</body>
</html>
","var getDaysInMonth = function(month,year) {
  // Here January is 1 based
  //Day 0 is the last day in the previous month
 return new Date(year, month, 0).getDate();
// Here January is 0 based
// return new Date(year, month+1, 0).getDate();
};
console.log(getDaysInMonth(1, 2012));
console.log(getDaysInMonth(2, 2012));
console.log(getDaysInMonth(9, 2012));
console.log(getDaysInMonth(12, 2012));
","Medium
"
4,JavaScript: Get the month name from a particular date,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Get the month name from a particular date</title>
</head>
<body>
</body>
</html>
","var month_name = function(dt){
mlist = [ ""January"", ""February"", ""March"", ""April"", ""May"", ""June"", ""July"", ""August"", ""September"", ""October"", ""November"", ""December"" ];
  return mlist[dt.getMonth()];
};
console.log(month_name(new Date(""10/11/2009"")));
console.log(month_name(new Date(""11/13/2014"")));
","Easy
"
5,JavaScript: Comparison between two dates,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Compare Dates</title>
</head>
<body>
</body>
</html>
","var compare_dates = function(date1,date2){
     if (date1>date2) return (""Date1 > Date2"");
   else if (date1<date2) return (""Date2 > Date1"");
   else return (""Date1 = Date2""); 
  }

console.log(compare_dates(new Date('11/14/2013 00:00'), new Date('11/14/2013 00:00')));
console.log(compare_dates(new Date('11/14/2013 00:01'), new Date('11/14/2013 00:00')));
console.log(compare_dates(new Date('11/14/2013 00:00'), new Date('11/14/2013 00:01')));
","Easy
"
6,JavaScript: Add minutes to a Date object,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Add minutes to a date object.</title>
</head>
<body>
</body>
</html> 
","var add_minutes =  function (dt, minutes) {
    return new Date(dt.getTime() + minutes*60000);
}
console.log(add_minutes(new Date(2014,10,2), 30).toString());
","Easy
"
7,JavaScript: Check whether a date is a weekend date,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>JavaScript Weekend test</title>
</head>
<body>
</body>
</html>
","var is_weekend =  function(date1){
    var dt = new Date(date1);
     
    if(dt.getDay() == 6 || dt.getDay() == 0)
       {
        return ""weekend"";
        } 
}

console.log(is_weekend('Nov 15, 2014'));
console.log(is_weekend('Nov 16, 2014'));
console.log(is_weekend('Nov 17, 2014'));
","Easy
"
8,JavaScript: Difference between two dates in days,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>JavaScript difference between two dates in days</title>
</head>
<body>
</body>
</html>
","var date_diff_indays = function(date1, date2) {
dt1 = new Date(date1);
dt2 = new Date(date2);
return Math.floor((Date.UTC(dt2.getFullYear(), dt2.getMonth(), dt2.getDate()) - Date.UTC(dt1.getFullYear(), dt1.getMonth(), dt1.getDate()) ) /(1000 * 60 * 60 * 24));
}
console.log(date_diff_indays('04/02/2014', '11/04/2014'));
console.log(date_diff_indays('12/02/2014', '11/04/2014'));
","Medium
"
9,JavaScript: Find out the last day of a month,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Find out the last day of a month</title>
</head>
<body>
</body>
</html>
","var lastday = function(y,m){
return  new Date(y, m +1, 0).getDate();
}
console.log(lastday(2014,0));
console.log(lastday(2014,1));
console.log(lastday(2014,11));
","Easy
"
10,JavaScript: Find out which day was in yesterday,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Find out which day was in yesterday</title>
</head>
<body>
</body>
</html>
","var yesterday =  function(date1){
    var dt = new Date(date1);
  return new Date((dt.setDate(dt.getDate()-1))).toString();
}
console.log(yesterday('Nov 15, 2014'));
console.log(yesterday('Nov 16, 2015'));
console.log(yesterday('Nov 17, 2016'));
","Easy
"
11,JavaScript: Maximum date from an array of dates,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Maximum date from an array of dates</title>
</head>
<body>
</body>
</html>
","function max_date(all_dates) {
var max_dt = all_dates[0],
  max_dtObj = new Date(all_dates[0]);
all_dates.forEach(function(dt, index)
  {
  if ( new Date( dt ) > max_dtObj)
  {
  max_dt = dt;
  max_dtObj = new Date(dt);
  }
  });
 return max_dt;
  }
console.log(max_date(['2015/02/01', '2015/02/02', '2015/01/03']));
","Easy
"
