1,JavaScript: Convert a number from one base to another,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>Base convert</title>
</head>
<body>

</body>
</html>
","var base_convert = function(number, initial_base, change_base) {
   if ((initial_base && change_base) <2 || (initial_base && change_base)>36)
    return 'Base between 2 and 36';
   
    return parseInt(number + '', initial_base)
    .toString(change_base);
}

console.log(base_convert('E164',16,8));
console.log(base_convert(1000,2,8));
","Easy
"
2,JavaScript: Convert a binary number to a decimal number,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>Binary number to a decimal number</title>
</head>
<body>

</body>
</html>
","function bin_to_dec(bstr) { 
    return parseInt((bstr + '')
    .replace(/[^01]/gi, ''), 2);
}
console.log(bin_to_dec('110011'));
console.log(bin_to_dec('100'));
","Easy
"
3,"JavaScript: Convert a decimal number to binary, hexadecimal or octal number","<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>Convert a decimal number to binary, hexadecimal or octal number</title>
</head>
<body>

</body>
</html>
","dec_to_bho  = function(n, base) {
 
    if (n < 0) {
      n = 0xFFFFFFFF + n + 1;
     } 
switch (base)  
{  
case 'B':  
return parseInt(n, 10).toString(2);
break;  
case 'H':  
return parseInt(n, 10).toString(16);
break;  
case 'O':  
return parseInt(n, 10).toString(8);
break;  
default:  
return(""Wrong input........."");  
}  
}

console.log(dec_to_bho(120,'B'));
console.log(dec_to_bho(120,'H'));
console.log(dec_to_bho(120,'O'));
","Easy
"
4,JavaScript: Generate a random integer,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>Javascript random function</title>
</head>
<body>

</body>
</html>
","rand = function(min, max) {
  if (min==null && max==null)
    return 0;    
  
  if (max == null) {
      max = min;
      min = 0;
    }
    return min + Math.floor(Math.random() * (max - min + 1));
  };
 console.log(rand(20,1));
 console.log(rand(1,10));
 console.log(rand(6));
 console.log(rand());
 ","Easy
"
5,JavaScript: Format a number up to specified decimal places,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
 <title>JS Bin</title>
</head>
<body>

</body>
</html>
","function decimals(n, d) {
 if ((typeof n !== 'number') || (typeof d !== 'number'))
   return false;
    	n = parseFloat(n) || 0;
	return n.toFixed(d);
	}
console.log(decimals(2.100212, 2));
console.log(decimals(2.100212, 3));
console.log(decimals(2100, 2));
","Medium
"
6,JavaScript: Find the highest value in an array,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>Find the highest value in an array</title>
</head>
<body>

</body>
</html>
","function max(input) {
     if (toString.call(input) !== ""[object Array]"")  
       return false;
  return Math.max.apply(null, input);
	}

console.log(max([12,34,56,1]));
console.log(max([-12,-34,0,-56,-1]));
","Medium
"
7,JavaScript: Find the lowest value in an array,"<!DOCTYPE html>
<html>
<head>
  <meta charset=""utf-8"">
<title>Javascript random function</title>
</head>
<body>

</body>
</html>
","function min(input) {
     if (toString.call(input) !== ""[object Array]"")  
       return false;
  return Math.min.apply(null, input);
	}

console.log(min([12,34,56,1]));
console.log(min([-12,-34,0,-56,-1]));
","Medium
"
8,JavaScript: Greatest common divisor (gcd) of two integers,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>GCD of two numbers</title>
  </head>
  <body>
</body>
  </html>
  ","function gcd_two_numbers(x, y) {
  if ((typeof x !== 'number') || (typeof y !== 'number')) 
    return false;
  x = Math.abs(x);
  y = Math.abs(y);
  while(y) {
    var t = y;
    y = x % y;
    x = t;
  }
  return x;
}

console.log(gcd_two_numbers(12, 13));
console.log(gcd_two_numbers(9, 3));
","Medium
"
9,JavaScript: Find the Greatest Common Divisor or GCD of more than 2 integers,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>GCD (greatest common divisor) of more than 2 integers</title>
</head>
<body>
</body>
</html>
","function gcd_more_than_two_numbers(input) {
  if (toString.call(input) !== ""[object Array]"")  
        return  false;  
  var len, a, b;
	len = input.length;
	if ( !len ) {
		return null;
	}
	a = input[ 0 ];
	for ( var i = 1; i < len; i++ ) {
		b = input[ i ];
		a = gcd_two_numbers( a, b );
	}
	return a;
}

function gcd_two_numbers(x, y) {
  if ((typeof x !== 'number') || (typeof y !== 'number')) 
    return false;
  x = Math.abs(x);
  y = Math.abs(y);
  while(y) {
    var t = y;
    y = x % y;
    x = t;
  }
  return x;
}
console.log(gcd_more_than_two_numbers([3,15,27]));
console.log(gcd_more_than_two_numbers([5,10,15,25]));
","Easy
"
10,JavaScript: Least common multiple (LCM) of two numbers,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>LCM of two numbers</title>
  </head>
  <body>
</body>
  </html>
  ","function lcm_two_numbers(x, y) {
   if ((typeof x !== 'number') || (typeof y !== 'number')) 
    return false;
  return (!x || !y) ? 0 : Math.abs((x * y) / gcd_two_numbers(x, y));
}

function gcd_two_numbers(x, y) {
  x = Math.abs(x);
  y = Math.abs(y);
  while(y) {
    var t = y;
    y = x % y;
    x = t;
  }
  return x;
}
console.log(lcm_two_numbers(3,15));
console.log(lcm_two_numbers(10,15));
","Easy
"
11,JavaScript: Least common multiple (LCM) of more than 2 integers,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>LCM more than two numbers</title>
  </head>
  <body>
</body>
  </html>
  ","function lcm_more_than_two_numbers(input_array) {
    if (toString.call(input_array) !== ""[object Array]"")  
        return  false;  
 var r1 = 0, r2 = 0;
    var l = input_array.length;
    for(i=0;i<l;i++) {
        r1 = input_array[i] % input_array[i + 1];
        if(r1 === 0) {
            input_array[i + 1] = (input_array[i] * input_array[i+1]) / input_array[i + 1];
        }
        else {
            r2 = input_array[i + 1] % r1;
            if(r2 === 0) {
                input_array[i + 1] = (input_array[i] * input_array[i + 1]) / r1;
            }
            else {
                input_array[i+1] = (input_array[i] * input_array[i + 1]) / r2;
            }
        }
    }
    return input_array[l - 1];
}

console.log(lcm_more_than_two_numbers([100,90,80,7])); 
console.log(lcm_more_than_two_numbers([5,10,15,25]));
","Medium
"
12,JavaScript: Find out if a number is a natural number or not,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Checking for Natural Number</title>
  </head>
  <body>
</body>
  </html>
  ",,"Easy
"
13,JavaScript: Test if a number is a power of 2,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Test if a number is a power of 2</title>
  </head>
  <body>
</body>
  </html>
  ","function power_of_2(n) {
 if (typeof n !== 'number') 
      return 'Not a number'; 

    return n && (n & (n - 1)) === 0;
}

console.log(power_of_2(16));
console.log(power_of_2(18));
console.log(power_of_2(256));
","Easy
"
14,JavaScript: Round a number to a given specific decimal places,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Round a number to a given decimal places</title>
  </head>
  <body>
</body>
  </html>
  ","function precise_round(num, dec){
 
  if ((typeof num !== 'number') || (typeof dec !== 'number')) 
return false; 

  var num_sign = num >= 0 ? 1 : -1;
    
  return (Math.round((num*Math.pow(10,dec))+(num_sign*0.0001))/Math.pow(10,dec)).toFixed(dec);
}


console.log(precise_round(12.375,2));
console.log(precise_round(12.37499,2));
console.log(precise_round(-10.3079499, 3));
","Easy
"
15,JavaScript: Check whether a value is an integer or not,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Check whether a value is an integer or not</title>
  </head>
  <body>
</body>
  </html>
  ","function is_Int(num) {
  
   if (typeof num !== 'number')
       return false; 
  
  return !isNaN(num) && 
         parseInt(Number(num)) == num && 
         !isNaN(parseInt(num, 10));
}
console.log(is_Int(23));
console.log(is_Int(4e2));
console.log(is_Int(NaN));
console.log(is_Int(23.75));
console.log(is_Int(-23));
","Medium
"
16,JavaScript: Check whether a variable is numeric or not ,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Check whether a variable is numeric or not</title>
  </head>
  <body>
</body>
  </html>
  ","function is_Numeric(num) {
  return !isNaN(parseFloat(num)) && isFinite(num);
}

console.log(is_Numeric(12));
console.log(is_Numeric('abcd'));
console.log(is_Numeric('12'));
console.log(is_Numeric(' '));
console.log(is_Numeric(1.20));
console.log(is_Numeric(-200));
","Hard
"
17,JavaScript: Calculate the sum of values in an array ,"<!DOCTYPE html>
  <html>
  <head>
  <meta charset=""utf-8"">
  <title>Sum of values in an array</title>
  </head>
  <body>
</body>
  </html>
  ","function sum(input){
             
 if (toString.call(input) !== ""[object Array]"")
    return false;
      
            var total =  0;
            for(var i=0;i<input.length;i++)
              {                  
                if(isNaN(input[i])){
                continue;
                 }
                  total += Number(input[i]);
               }
             return total;
            }
console.log(sum([1,2,3]));
console.log(sum([100,-200,3]));
console.log(sum([1,2,'a',3]));
","Medium
"
18,JavaScript: Calculate the product of values in an array ,"<!DOCTYPE html>
<html>
<head>
<meta charset=""utf-8"">
<title>Product of values in an array</title>
</head>
<body></body>
</html>
","function product(input){
 if (toString.call(input) !== ""[object Array]"")
    return false;
  
         var total   =   1;
  
       for(var i=0;i<input.length;i++){
               if(isNaN(input[i])){
                 continue;
               }
                total   *=  Number(input[i]);
            }
          return total;
        }
console.log(product([1,2,3]));
console.log(product([100,-200,3]));
console.log(product([1,2,'a',3]));
","Medium
"
