item_id,item_html
1,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to alphabetize a given string.</title> </head> <body>  </body> </html> 
2,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to capitalize each word in the string.</title> </head> <body>  </body> </html> 
3,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function check if a string ends with specified suffix</title> </head> <body>  </body> </html> 
4,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>JS string : is blank</title> </head> <body> </body> </html> 
5,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Check whether an input is a string or not</title> </head> <body> </body> </html> 
6,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>chop a string into chunks of a given length</title> </head> <body> </body> </html> 
7,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>JavaScript program to concatenates a given string n times (default is 1).</title> </head> <body> </body> </html> 
8,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to Convert ASCII to hex format.</title> </head> <body>  </body> </html> 
9,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to convert Hexadecimal to ASCII</title> </head> <body>  </body> </html> 
10,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Convert a string in abbreviated form</title> </head> <body> </body> </html> 
11,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Javascript camel case</title> </head> <body> </body> </html> 
12,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to convert a string to title case.</title> </head> <body>  </body> </html> 
13,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to count the occurrence of a substring in a string.</title> </head> <body> </body> </html> 
14,"<!DOCTYPE html> <html> <head>   <meta charset=""utf-8"">   <title>JavaScript function to create a Zerofilled value with optional +, - sign.</title> </head> <body>  </body> </html> "
15,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to create a case-insensitive search.</title> </head> <body>  </body> </html> 
16,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to escape a HTML string.</title> </head> <body>  </body> </html> 
17,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to escapes special characters for use in HTML.</title> </head> <body>  </body> </html> 
18,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Extract a specific number of characters from a string</title> </head> <body> </body> </html> 
19,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to find a word within a string</title> </head> <body>  </body> </html> 
20,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Formats a number to a human-readable string </title> </head> <body> </body> </html> 
21,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to get a part of string after a specified character.</title> </head> <body>  </body> </html> 
22,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to get humanized number with the correct suffix</title> </head> <body>  </body> </html> 
23,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to get the successor of a string</title> </head> <body>  </body> </html> 
24,"<!DOCTYPE html> <html> <head>   <meta charset=""utf-8"">   <title>JavaScript function to get unique guid of the specified length, or 32 by default</title> </head> <body>  </body> </html> "
