word,vector
26985,"[-0.024709755554795265,-0.061528388410806656,0.04373405501246452,0.04223528876900673,0.021794622763991356]"
5451,"[-0.016300469636917114,-0.11118483543395996,-0.10957277566194534,-0.004292742814868689,0.04167468845844269]"
4018,"[0.06016012281179428,-0.20505838096141815,-0.21357710659503937,0.13562773168087006,0.17040963470935822]"
4056,"[-0.04213858023285866,0.014868233352899551,-0.18968497216701508,-0.046482302248477936,0.07769775390625]"
32584,"[0.05302153527736664,-0.011021201498806477,-0.0034272242337465286,0.0626835972070694,-0.006182511802762747]"
6909,"[0.07427600026130676,-0.09849391877651215,-0.005632467567920685,0.045606330037117004,-0.03682418912649155]"
205,"[-0.08184017241001129,-0.06360947340726852,0.04837638512253761,0.01767590641975403,-0.09714963287115097]"
2014,"[0.0006175335729494691,0.05201853811740875,-0.01696210354566574,-0.026231424883008003,0.012267407961189747]"
193609,"[-0.10903310775756836,0.07248283177614212,0.01236085407435894,-0.010028964839875698,0.038101665675640106]"
45,"[-0.1214606761932373,0.028169818222522736,0.3438695967197418,0.0275610089302063,-0.04798439145088196]"
127108,"[-0.0711425170302391,-0.1417590230703354,-0.16307827830314636,0.018458496779203415,0.11530473083257675]"
6979,"[-0.031599078327417374,-0.031692881137132645,0.03132551163434982,-0.0551927275955677,0.21221984922885895]"
5608,"[-0.004208100959658623,-0.011413022875785828,-0.10097667574882507,-0.07023134082555771,0.286899209022522]"
515,"[0.18541090190410614,0.21105827391147614,0.09744574129581451,-0.2874607443809509,-0.25813859701156616]"
86628,"[0.029727937653660774,-0.07870577275753021,-0.18846647441387177,-0.03685006871819496,0.05470406264066696]"
64034,"[-0.14152032136917114,-0.07220149785280228,-0.29098692536354065,-0.13966357707977295,0.001998971216380596]"
1210,"[0.33563217520713806,0.7031963467597961,0.33051908016204834,1.4643183946609497,-1.1819850206375122]"
1673,"[-0.0981624498963356,0.15122626721858978,0.04146534204483032,0.1750243604183197,-0.24367697536945343]"
193571,"[-0.11020538210868835,-0.043212126940488815,-0.23323139548301697,-0.04328811168670654,0.027240144088864326]"
67923,"[-0.0855548232793808,-0.0690540000796318,-0.10183382779359818,-0.13704431056976318,0.028325654566287994]"
6290,"[0.018204137682914734,0.060742493718862534,-0.07955168187618256,0.061184413731098175,-0.03350977599620819]"
1554,"[0.03053942322731018,0.014936411753296852,-0.019569233059883118,0.041795048862695694,0.08736836910247803]"
58154,"[-0.017746899276971817,0.009920439682900906,-0.16274084150791168,0.01141712348908186,0.030006250366568565]"
574,"[0.09195657819509506,0.033972688019275665,-0.06166263297200203,0.01910761371254921,-0.10794704407453537]"
2935,"[0.017509687691926956,0.0317116305232048,-0.22885769605636597,-0.0729835107922554,0.15877020359039307]"
4621,"[-0.08607787638902664,0.006655702367424965,-0.05482419207692146,0.05015850067138672,-0.030586831271648407]"
60766,"[-0.06213038042187691,-0.05795179307460785,-0.08973168581724167,-0.0789802148938179,0.07333746552467346]"
4464,"[-0.04035872220993042,0.045355167239904404,-0.055761631578207016,-0.018883395940065384,-0.07271578907966614]"
2371,"[0.0025377734564244747,-0.06079776585102081,-0.13732770085334778,0.06735379993915558,0.024116795510053635]"
1262,"[0.032473307102918625,0.6352394819259644,-0.28947335481643677,0.8141360282897949,-0.8164535760879517]"
4386,"[-0.10706983506679535,-0.058116793632507324,-0.09892816096544266,-0.007755020167678595,0.013823464512825012]"
121338,"[0.027152232825756073,0.011217013001441956,-0.11457594484090805,-0.05081573873758316,-0.028880689293146133]"
103228,"[-0.16520045697689056,-0.08000035583972931,-0.2380281686782837,-0.005051305517554283,0.05589530989527702]"
3723,"[-0.0793256089091301,0.024336105212569237,-0.04855848848819733,-0.051792122423648834,0.10691698640584946]"
8939,"[0.0396956168115139,-0.04852364584803581,0.05213681235909462,0.0872991532087326,0.09683849662542343]"
1690,"[-0.013750596903264523,0.0397588387131691,-0.08264485746622086,0.1295718103647232,-0.20328247547149658]"
5181,"[-0.14643655717372894,-0.08197759091854095,-0.0718536451458931,-0.09219004213809967,0.023365184664726257]"
2240,"[-0.002676982432603836,-0.06910280138254166,-0.1773305982351303,-0.04210029914975166,-0.00581144355237484]"
164179,"[-0.34851065278053284,-0.18775592744350433,-0.5431180000305176,-0.07814230024814606,0.16428881883621216]"
137857,"[-0.1740635484457016,-0.0623081773519516,-0.30298492312431335,0.07196755707263947,-0.0020297286100685596]"
3556,"[0.04626167565584183,-0.07876265048980713,-0.22430722415447235,-0.09978099167346954,0.2097637802362442]"
1446,"[-0.11862577497959137,0.013987972401082516,-0.055067289620637894,0.04860420897603035,-0.06550128012895584]"
127180,"[-0.09108476340770721,-0.056876324117183685,-0.1376209557056427,-0.0007888837717473507,0.00406426889821887]"
2335,"[-0.0008676720317453146,0.020595569163560867,-0.3383098542690277,0.03426505625247955,0.08837448060512543]"
113453,"[-0.053582414984703064,-0.07675541192293167,0.06901285797357559,-0.07097198814153671,0.057210855185985565]"
71668,"[-0.043034568428993225,-0.01408415473997593,-0.11759999394416809,0.053688786923885345,0.048291128128767014]"
2728,"[0.06672295182943344,-0.062241166830062866,-0.2702096700668335,0.16081483662128448,0.006226543802767992]"
858,"[1.331162691116333,-0.04300203546881676,0.2444663792848587,-0.21775253117084503,-0.5175213813781738]"
165843,"[-0.261938214302063,-0.11872006952762604,-0.2561216354370117,0.1537969708442688,-0.05755702406167984]"
3813,"[0.040857695043087006,-0.1197042241692543,-0.09221119433641434,0.014971951954066753,0.08476509153842926]"
62383,"[-0.053426407277584076,-0.05172065272927284,0.047294266521930695,-0.0007629906758666039,-0.09462308138608932]"
3675,"[-0.02594766393303871,-0.13637806475162506,-0.25942307710647583,0.006400902755558491,0.11313488334417343]"
86644,"[-0.04248813912272453,-0.08215197175741196,-0.21881568431854248,0.03454924374818802,0.108941450715065]"
6059,"[-0.009055474773049355,0.05054294317960739,0.004310633987188339,0.040062110871076584,0.14886292815208435]"
86293,"[0.03000759705901146,-0.07844758033752441,-0.01731434464454651,0.031278032809495926,0.0018216012977063656]"
1441,"[-0.07236594706773758,0.09590649604797363,-0.09030581265687943,0.20357854664325714,-0.2736791968345642]"
2991,"[0.0576065257191658,-0.2167995125055313,-0.055074386298656464,0.01772652380168438,0.1922413855791092]"
2513,"[0.03609199449419975,0.08880084753036499,-0.0509563572704792,0.057164229452610016,-0.07378480583429337]"
1965,"[-0.15988396108150482,-0.0570831373333931,0.009555169381201267,0.014425531029701233,-0.11170002073049545]"
103772,"[-0.04039284586906433,-0.050141382962465286,-0.1879688799381256,0.008635892532765865,0.04335099831223488]"
7056,"[-0.14185313880443573,-0.05015019699931145,-0.08693502843379974,0.10231123119592667,0.04466995224356651]"
6218,"[-0.14956068992614746,-0.12890660762786865,-0.39795613288879395,0.03193329647183418,0.42450910806655884]"
55872,"[-0.03682783991098404,-0.04316144809126854,-0.11183621734380722,0.00656930124387145,-0.018836284056305885]"
1856,"[-0.012151120230555534,0.0491991825401783,-0.1153184026479721,-0.037928055971860886,0.0106099434196949]"
48262,"[-0.08000592142343521,0.10656282305717468,0.03880549222230911,-0.0916072353720665,0.061703700572252274]"
4370,"[-0.06141068786382675,-0.024556800723075867,-0.29562753438949585,-0.08973468840122223,0.03785879909992218]"
42422,"[0.0043581388890743256,-0.054033488035202026,-0.07716573774814606,-0.03857304900884628,0.022712329402565956]"
3745,"[-0.06814513355493546,-0.17563597857952118,-0.07209260016679764,-0.05067560076713562,0.09149544686079025]"
42725,"[-0.00033702142536640167,-0.06890782713890076,-0.053551219403743744,0.05270683392882347,0.05470395088195801]"
166946,"[-0.15054821968078613,-0.06779562681913376,-0.053228769451379776,-0.1215038150548935,0.04129708930850029]"
5915,"[-0.03910696879029274,0.08254832029342651,-0.044891826808452606,0.05739965662360191,0.012279203161597252]"
4936,"[-0.04396018758416176,0.025394368916749954,-0.07771652191877365,-0.05662098526954651,-0.05103369057178497]"
1699,"[-0.05221408233046532,-0.027761157602071762,0.02592763863503933,0.0005035051144659519,0.007372146472334862]"
85412,"[0.06849848479032516,-0.09251352399587631,-0.045885901898145676,0.0645279809832573,0.09910573065280914]"
92475,"[-0.0020633446983993053,-0.13685016334056854,-0.06632838398218155,-0.12368716299533844,0.05163247510790825]"
32511,"[-0.10727180540561676,-0.09432689100503922,0.038478001952171326,-0.0191454216837883,-0.039350301027297974]"
113741,"[-0.1355343759059906,0.053451068699359894,0.0021244753152132034,0.09237262606620789,-0.02278243750333786]"
38159,"[-0.10574670881032944,0.019992006942629814,-0.1525690108537674,-0.07326773554086685,-0.01705063320696354]"
619,"[0.08187367767095566,0.04168003052473068,-0.02918192185461521,-0.022063126787543297,0.02305900864303112]"
2175,"[-0.041678037494421005,-0.10391148924827576,-0.0052862223237752914,-0.058868929743766785,0.017585940659046173]"
151315,"[0.008466030471026897,0.0027509420178830624,-0.10731294006109238,0.0017318036407232285,-0.07129718363285065]"
51834,"[0.03641799837350845,0.012967675924301147,0.07471627742052078,-0.0252828486263752,0.08064601570367813]"
94150,"[-0.01098509319126606,-0.1671242117881775,-0.13269725441932678,0.05408717319369316,-0.012274671345949173]"
3379,"[-0.026756878942251205,-0.043493688106536865,0.06605743616819382,0.052108511328697205,-0.010324480943381786]"
507,"[-0.06701097637414932,0.16292019188404083,-0.07464541494846344,-0.08086417615413666,-0.06859934329986572]"
2916,"[0.550057053565979,0.01354910433292389,-0.5327420234680176,0.21177439391613007,0.5279147624969482]"
65088,"[-0.12810665369033813,0.027802348136901855,-0.07265162467956543,-0.1342051774263382,0.07899241149425507]"
4965,"[0.06786449253559113,0.014211734756827354,-0.054345253854990005,0.03133388236165047,0.06063304468989372]"
113,"[-0.03650454431772232,0.042041927576065063,-0.029420292004942894,0.006608045194298029,-0.026695959270000458]"
34,"[-0.7748393416404724,0.40925872325897217,0.9961878657341003,-0.4070093631744385,-0.30528271198272705]"
102066,"[-0.005196359008550644,0.01730833575129509,-0.01668369024991989,-0.07669597864151001,-0.06228438392281532]"
55908,"[-0.0003812743816524744,-0.17707599699497223,-0.19424962997436523,-0.09355997294187546,0.10819381475448608]"
56908,"[0.06104811280965805,0.07273921370506287,-0.012522565200924873,0.04906212165951729,0.00999301765114069]"
3753,"[-0.05945242941379547,-0.1325942873954773,-0.16709604859352112,-0.04848819971084595,0.2814646065235138]"
117176,"[-0.19194968044757843,-0.11322706192731857,-0.1440044641494751,0.05329514294862747,0.07336733490228653]"
563,"[0.020692218095064163,0.03605373576283455,-0.05683804303407669,-0.02855541743338108,-0.029801569879055023]"
26606,"[0.03592617064714432,-0.006819715723395348,-0.008587385527789593,0.019725928083062172,-0.00888865813612938]"
135133,"[-0.09546876698732376,-0.1571204662322998,-0.09995619207620621,0.015016943216323853,0.008066484704613686]"
381,"[0.11077933758497238,0.16908082365989685,0.016516314819455147,-0.15905150771141052,-0.07697459310293198]"
58309,"[0.010597550310194492,-0.127412348985672,-0.07381527870893478,-0.053260497748851776,0.00961559172719717]"
112290,"[-0.15971411764621735,-0.06094827130436897,-0.13449092209339142,0.06938490271568298,0.1149473637342453]"
2594,"[0.04681333526968956,0.14074185490608215,-0.21255344152450562,0.04599493369460106,0.08256617188453674]"
7206,"[-0.16995219886302948,-0.08621646463871002,-0.2555691599845886,-0.16206751763820648,0.15231385827064514]"
26409,"[-0.05663105845451355,0.061268050223588943,0.030353888869285583,0.07489751279354095,0.09271608293056488]"
141816,"[-0.22691836953163147,-0.10228347033262253,-0.23224200308322906,0.08278733491897583,-0.03300614655017853]"
455,"[0.18815448880195618,0.23271195590496063,-0.0678631141781807,-0.06964173913002014,-0.07917691767215729]"
8928,"[-0.03567207604646683,-0.07429482042789459,-0.07352828234434128,-0.0746132954955101,0.04165876656770706]"
87522,"[-0.007963674142956734,-0.005802541971206665,-0.12887929379940033,0.13426585495471954,-0.04127557948231697]"
2243,"[-0.08081290870904922,-0.1131894662976265,-0.2069815844297409,0.0733867958188057,-0.001889730803668499]"
89904,"[-0.17907164990901947,-0.18574978411197662,-0.2905947268009186,0.09769268333911896,0.13719142973423004]"
7062,"[-0.10384508222341537,-0.1136547178030014,0.009637972339987755,-0.07083181291818619,0.0649840235710144]"
70293,"[-0.09095018357038498,-0.035213351249694824,0.03950139880180359,-0.023416463285684586,0.13916240632534027]"
4280,"[-0.11343017965555191,0.010789163410663605,-0.21754862368106842,-0.07392188161611557,0.04604071378707886]"
2739,"[0.23274226486682892,0.05796200409531593,-0.22743090987205505,0.04071683809161186,0.07034162431955338]"
4813,"[-0.09035136550664902,-0.08999601006507874,-0.11350607126951218,0.0730423554778099,0.12634395062923431]"
4211,"[-0.0615779384970665,-0.04653044790029526,-0.2712825536727905,-0.17412877082824707,-0.03877555951476097]"
388,"[0.07701115310192108,0.07060732692480087,-0.08123185485601425,-0.10409834235906601,-0.09235765039920807]"
4857,"[-0.05186465382575989,-0.17578400671482086,-0.25366365909576416,-0.06643998622894287,0.05322305113077164]"
64501,"[-0.08244756609201431,0.01918119192123413,-0.07598850876092911,-0.03299989923834801,0.01796562969684601]"
5625,"[-0.06301261484622955,-0.11722897738218307,0.005656884983181953,0.02574264258146286,-0.012026258744299412]"
188189,"[-0.01598384976387024,-0.0990641862154007,-0.03732292354106903,-0.07157772034406662,-0.0152126494795084]"
2521,"[-0.07219378650188446,-0.0662611722946167,0.05370233952999115,-0.023874225094914436,-0.08733367174863815]"
180045,"[0.06618054211139679,-0.09467675536870956,0.001894727349281311,-0.05216630548238754,0.07606274634599686]"
88345,"[0.05151412636041641,0.10782098770141602,-0.04983051121234894,0.04923955351114273,-0.0478062704205513]"
5065,"[0.05386385694146156,-0.0923290029168129,-0.0015657733893021941,0.07267056405544281,-0.05673793703317642]"
7318,"[-0.11898792535066605,-0.03967016190290451,-0.1868811845779419,-0.08973265439271927,0.03891065716743469]"
114935,"[-0.11559903621673584,-0.07490245252847672,-0.1720661073923111,-0.03767857700586319,0.055314015597105026]"
5788,"[-0.05827648937702179,-0.025294626131653786,-0.16653229296207428,0.0056807734072208405,0.014028361067175865]"
3728,"[-0.11819566041231155,0.020413558930158615,-0.17838920652866364,-0.055686142295598984,0.01074764784425497]"
52458,"[-0.05162352696061134,-0.03041658364236355,-0.08291616290807724,0.1383296251296997,0.08905883133411407]"
2206,"[0.016468269750475883,-0.021153999492526054,-0.10208290070295334,0.0320584736764431,-0.06844614446163177]"
88746,"[-0.06354115903377533,-0.10563774406909943,-0.1472862958908081,0.04476763308048248,-0.03802374750375748]"
2829,"[-0.007008976303040981,-0.009743203409016132,-0.04285617917776108,0.0038684632163494825,0.04523347690701485]"
42556,"[-0.11168908327817917,0.0330609530210495,-0.07500387728214264,-0.08985686302185059,-0.05290821194648743]"
7255,"[-0.06418274343013763,-0.013350614346563816,-0.11344806104898453,-0.05473571643233299,0.12612572312355042]"
167018,"[-0.12232446670532227,0.016493193805217743,-0.28931334614753723,0.0024386178702116013,0.07667641341686249]"
147657,"[-0.05889546871185303,-0.04383360221982002,0.012931667268276215,0.05063172057271004,-0.009862363338470459]"
56921,"[-0.07072222977876663,-0.05151163414120674,-0.22076275944709778,-0.06716802716255188,0.010517175309360027]"
91784,"[-0.04387214779853821,-0.06275656819343567,0.014502539299428463,-0.06043161451816559,0.12240302562713623]"
5389,"[-0.019880926236510277,-0.02202233299612999,0.029656585305929184,0.04714013263583183,0.07955092191696167]"
133771,"[-0.011347398161888123,-0.06347745656967163,-0.17463253438472748,-0.0442659817636013,-0.022625301033258438]"
85401,"[0.03429558873176575,-0.08220034837722778,-0.13215015828609467,0.02114200033247471,0.09688202291727066]"
444,"[-0.08628357201814651,0.018300436437129974,-0.08994362503290176,-0.11037196964025497,-0.11123885214328766]"
1401,"[0.011257020756602287,0.008511576801538467,-0.04489870369434357,0.0030913036316633224,-0.06237100064754486]"
7810,"[-0.2122328281402588,-0.10757443308830261,-0.1378488838672638,0.0025950875133275986,0.1542191058397293]"
144734,"[0.022860083729028702,0.056314487010240555,0.06913116574287415,0.08514189720153809,0.03447818383574486]"
26693,"[0.014439769089221954,0.07393477857112885,-0.026245951652526855,0.015431622043251991,-0.04822077974677086]"
193,"[-0.11586052179336548,0.047941312193870544,0.014990963973104954,-0.2266211211681366,-0.027147512882947922]"
3453,"[-0.09140974283218384,0.023238319903612137,-0.06984151154756546,-0.10165873169898987,0.04265405610203743]"
6950,"[0.05073345825076103,-0.06500759720802307,0.07503557950258255,0.011717317625880241,-0.03161477670073509]"
25825,"[-0.13331256806850433,-0.15455077588558197,-0.22529713809490204,0.03968213498592377,0.01998557709157467]"
1606,"[0.02473011240363121,-0.09070271998643875,0.04053962230682373,0.07167819142341614,-0.07397295534610748]"
2701,"[0.02272055670619011,0.08406372368335724,-0.12893572449684143,0.18955238163471222,0.1530081182718277]"
5137,"[0.01653224229812622,-0.06194300204515457,-0.11663810163736343,0.032718170434236526,-0.04209579527378082]"
33830,"[-0.04709246754646301,-0.0147627554833889,-0.03667932748794556,0.013808219693601131,-0.021990004926919937]"
5527,"[-0.015743009746074677,-0.01849941909313202,-0.049054790288209915,-0.03141603618860245,0.09216298907995224]"
2346,"[-0.03626024350523949,-0.07054266333580017,-0.0211173165589571,0.0596921443939209,0.08174407482147217]"
